19

960 959
506 263 498
575 842 311
251 581 -373
747 95 722
122 525 -625
316 513 112
705 93 -449
557 385 508
870 172 -621
135 612 -397
353 450 412
77 531 561
276 284 -318
873 12 797
669 81 -185
572 232 264
286 414 -551
245 316 152
663 203 101
634 82 -868
220 943 -290
660 613 554
455 539 -763
232 743 -583
90 659 -641
686 459 945
521 271 -264
234 579 559
366 665 855
570 831 572
124 890 699
263 616 -268
883 703 -77
277 800 -605
14 672 925
353 681 690
659 58 539
686 114 -526
134 756 -615
301 159 -931
801 644 -375
690 345 -584
37 823 -612
48 206 -412
554 14 1000
189 780 244
720 210 -159
870 108 -207
863 194 713
217 124 425
669 353 963
189 74 -552
371 660 103
575 618 -652
321 243 -586
570 224 445
159 913 165
655 536 -600
155 720 833
397 835 -274
567 66 -670
509 667 -910
692 761 930
672 557 -736
653 344 -579
826 105 732
140 354 -716
645 531 987
467 835 594
515 829 -959
279 758 -421
641 878 540
534 257 588
853 60 234
957 386 331
435 496 -772
572 369 -573
656 227 -148
252 650 -63
404 159 543
240 103 311
27 854 475
226 417 381
397 597 -804
273 136 -63
554 462 -630
958 706 901
496 196 -210
534 762 -381
686 844 -820
722 899 -214
906 405 390
521 503 20
96 732 192
687 686 -270
762 317 -263
450 223 603
36 104 -583
762 341 -373
542 795 877
96 687 778
824 100 215
731 478 380
478 601 597
576 686 712
379 288 -61
489 320 -297
188 26 -260
547 834 -878
326 458 -671
605 61 -453
424 449 -207
150 705 114
105 320 20
24 133 -464
498 489 591
958 638 187
249 703 -868
105 64 62
326 118 858
656 431 510
475 172 -27
251 16 32
809 834 665
845 900 -646
238 924 627
730 744 -792
704 19 528
649 871 -618
844 371 479
697 178 362
501 596 229
539 92 -182
933 534 154
802 955 -667
75 238 381
147 78 -8
38 369 -697
602 228 890
382 6 -927
587 297 97
887 818 304
473 464 -415
29 503 189
409 624 546
29 155 608
287 501 249
868 229 941
568 472 -196
735 413 -315
371 394 730
545 314 -553
402 4 327
371 373 -666
146 800 -313
935 857 -431
728 849 -866
70 453 890
561 735 -182
622 655 969
92 322 -340
703 927 -893
783 120 -38
277 447 -233
707 540 920
937 646 365
619 848 -456
851 626 519
429 440 869
704 82 -248
434 184 -435
854 170 768
536 447 104
720 940 -546
72 68 22
563 876 670
757 70 -937
421 336 271
263 510 219
489 652 -268
484 368 -894
830 88 401
265 612 -871
8 726 -840
880 264 -776
476 599 -136
693 539 -926
337 813 683
950 472 708
670 354 -861
441 566 949
715 22 564
262 545 716
787 675 -372
451 801 -876
162 198 -555
48 678 650
194 397 910
849 875 -621
257 450 807
858 186 -634
173 530 -331
246 201 677
846 875 -522
829 409 537
283 88 554
873 909 175
736 52 438
121 244 722
384 577 819
31 110 72
496 632 -906
380 15 -190
48 619 141
514 292 -390
162 648 -803
908 91 -23
217 464 529
218 663 746
722 304 832
429 71 661
297 749 516
311 822 -662
68 820 -520
571 238 -126
397 335 142
814 542 -283
330 534 -320
668 793 -414
950 87 -235
370 406 -16
926 772 -549
89 42 98
332 154 260
395 42 -527
221 227 -723
812 651 -138
112 789 -968
222 418 566
74 349 893
155 154 780
660 224 -265
533 131 -320
910 888 547
865 517 210
821 171 902
245 258 -896
848 533 -404
606 908 618
161 843 497
701 340 191
900 788 -761
917 41 268
528 343 955
756 196 -205
555 641 200
339 693 363
327 398 286
494 273 312
643 662 -627
261 467 481
749 253 120
941 373 -775
104 703 -16
396 425 -575
81 728 312
216 81 353
485 649 757
470 95 802
896 562 -611
32 902 -650
483 578 786
669 82 515
586 289 408
744 234 -938
391 141 -727
201 619 -25
433 687 967
78 922 485
470 95 766
76 786 -72
499 491 357
626 656 -553
865 401 -666
317 740 -680
280 495 -537
677 407 -751
73 13 831
721 347 -500
399 252 434
533 701 312
891 31 -226
184 493 -523
648 719 -626
10 488 666
912 685 -987
582 213 -268
851 125 -331
300 249 -86
481 452 108
522 225 897
499 197 813
766 481 -914
242 541 529
427 303 447
630 960 -33
890 460 975
576 405 -671
681 482 -124
9 778 -846
45 552 751
948 791 -642
443 236 -923
842 102 -899
534 593 -454
119 394 931
498 564 -221
7 548 576
723 634 565
509 855 -164
412 290 -268
345 215 340
299 29 -387
205 530 536
36 302 821
873 745 -856
328 538 22
767 739 -416
724 217 903
387 827 -215
303 940 468
920 538 -443
191 242 479
926 352 990
869 516 143
745 925 6
110 815 -437
26 37 153
529 481 -84
779 520 787
636 836 -163
360 720 -754
88 132 888
83 469 -575
133 746 718
613 595 -823
438 302 770
635 548 152
312 612 62
313 406 -608
11 758 261
214 291 -584
376 671 -679
164 123 -933
376 251 -362
934 713 -79
800 321 338
282 139 275
429 712 -174
867 740 -977
340 239 824
580 462 336
102 138 -319
917 678 -580
833 88 -722
839 411 4
600 601 23
159 474 -248
626 19 78
354 65 -578
487 543 -468
337 527 -24
327 376 886
548 61 193
235 642 941
399 531 -304
564 861 594
457 104 309
19 667 132
534 938 203
178 8 23
97 408 -598
799 478 329
308 136 445
885 271 790
625 362 -581
223 216 -952
809 596 -28
187 553 -742
720 860 -839
929 36 623
935 188 -442
954 814 183
714 267 -980
670 296 -290
57 69 -323
262 62 679
957 130 997
317 721 -719
527 763 641
822 459 10
293 789 -647
21 906 -573
811 14 374
603 831 769
105 489 923
731 511 236
778 697 600
317 843 -328
265 730 666
231 354 457
927 890 -302
824 474 746
278 425 547
947 75 550
730 23 743
617 876 -606
475 793 -152
245 387 -355
99 592 -700
203 256 41
318 233 -91
184 526 -171
292 93 12
281 200 401
405 65 -361
652 347 377
776 479 39
885 937 -569
371 573 474
6 415 -853
679 346 -147
240 840 502
123 709 810
96 881 -976
830 147 54
73 930 -21
710 259 783
852 944 -387
17 680 -393
741 275 -144
858 246 165
924 626 -655
869 52 580
171 805 934
700 747 -673
699 627 -322
692 530 -176
640 650 -965
831 421 -345
632 337 -625
306 463 605
54 830 -410
897 222 605
432 688 456
126 354 -703
696 514 356
689 495 346
712 578 80
846 349 -794
42 51 -190
917 321 782
411 16 154
802 43 748
822 326 180
277 563 -27
738 114 -448
126 540 -632
134 597 -185
480 890 -229
858 423 385
744 710 -966
875 690 -361
618 443 856
424 711 829
674 623 -30
155 192 502
327 861 87
380 82 783
12 525 -263
490 5 338
177 570 -841
564 698 696
681 626 -260
619 815 860
115 208 474
248 468 -185
441 673 476
734 330 583
767 794 -464
179 482 534
320 346 -334
881 66 -318
541 47 791
855 675 709
722 400 -215
713 949 197
682 371 554
788 480 806
70 264 -126
566 87 -202
269 747 107
555 31 -854
866 409 989
144 441 -464
107 932 -894
