19

997 858
227 26 312
165 265 852
26 481 451
230 104 -211
935 244 644
576 677 899
925 32 -148
466 782 -555
585 494 -460
364 540 676
628 189 138
548 132 678
32 636 502
439 750 -824
139 389 378
786 465 -874
786 60 526
343 680 -318
567 294 736
337 89 445
301 176 770
181 442 765
447 91 535
445 198 -352
519 726 113
926 357 786
262 820 504
490 909 -813
565 323 461
60 51 379
792 151 -361
73 772 -167
549 233 -636
365 199 592
904 79 -352
506 458 327
856 243 -824
956 915 591
113 428 -64
300 797 -379
795 343 913
293 584 -226
61 405 855
560 588 -795
747 158 -710
856 873 942
534 260 -455
962 367 642
357 282 896
62 560 -279
904 173 803
921 105 529
658 809 237
892 293 -979
698 862 376
337 496 410
577 414 419
593 116 -720
28 323 962
278 293 -243
180 802 72
596 491 -203
223 431 -213
373 151 -179
721 448 252
458 296 343
110 725 304
443 248 507
774 734 193
574 227 -247
170 72 195
631 985 -954
95 957 555
641 737 -790
204 976 707
343 450 984
411 160 645
994 933 319
784 850 -933
953 790 -38
37 356 846
525 733 16
270 938 -819
126 487 277
491 619 809
946 370 644
212 159 -804
910 619 -907
632 949 982
181 281 296
425 943 279
371 338 657
308 657 -466
516 307 -169
344 364 404
884 189 117
211 808 268
381 840 -605
293 114 182
493 268 -863
226 551 -722
965 6 -161
121 24 572
123 134 -677
490 80 -378
473 662 476
88 339 -28
162 937 556
792 389 -864
268 370 -257
608 836 -27
602 168 -856
612 194 521
343 318 -511
17 286 -190
615 544 371
559 287 -577
717 603 897
523 15 492
730 33 56
910 848 957
634 996 912
265 497 336
696 694 -861
201 637 617
22 227 307
52 514 -244
155 533 -230
404 107 983
219 802 73
569 670 -211
749 116 -434
505 445 -566
429 399 -509
420 690 505
815 517 -331
73 285 683
331 827 -423
784 888 -94
706 69 -312
900 837 394
327 601 -707
930 307 -183
917 80 -372
91 840 552
539 717 572
850 600 960
992 808 978
116 610 254
418 88 706
698 709 -537
600 249 -908
699 631 -27
293 737 -376
528 887 -806
796 449 -473
284 20 -107
109 860 -795
445 58 -656
362 817 55
519 25 47
649 926 641
484 204 2
