861 2950
519 815 721
461 622 332
795 239 15
357 693 480
555 576 894
823 716 253
413 635 617
759 701 273
28 680 79
607 611 406
482 619 987
86 613 320
692 150 436
132 294 45
4 724 236
574 742 281
135 851 89
816 140 561
624 396 345
365 754 572
57 683 32
290 278 809
31 235 190
629 753 335
732 344 315
739 407 872
185 202 307
36 771 42
230 371 987
651 148 458
351 491 869
214 140 785
527 155 132
800 780 212
62 529 311
118 195 178
755 58 320
725 628 662
849 9 408
246 781 358
513 748 729
339 470 399
174 626 18
784 534 564
643 613 199
593 820 539
415 207 737
717 9 675
799 847 404
530 132 819
417 439 128
531 265 488
553 549 581
531 723 236
682 127 338
555 390 889
761 631 439
515 826 132
760 455 334
404 126 623
204 30 307
69 431 254
184 609 151
518 428 169
360 193 163
561 224 123
166 713 994
286 377 243
63 293 771
481 426 65
213 701 872
483 605 189
217 540 550
145 241 210
567 840 77
742 451 413
104 300 840
147 500 940
170 493 807
820 225 883
626 76 654
680 184 572
740 462 761
627 410 297
230 91 10
436 300 358
181 308 144
152 417 330
786 555 394
332 359 395
770 105 656
349 19 169
104 406 395
572 342 901
622 679 581
306 783 763
226 414 717
367 532 343
215 209 746
700 560 109
468 80 104
588 408 205
81 510 545
737 740 23
739 122 581
140 193 506
433 561 110
398 694 596
761 81 391
452 282 503
661 298 4
231 225 580
680 246 665
601 660 991
516 766 172
627 474 848
174 238 63
135 180 53
578 662 955
441 554 971
610 628 75
142 789 321
22 254 701
246 798 118
606 735 191
216 313 467
97 11 550
581 155 44
749 466 314
859 700 294
706 341 410
397 826 234
326 789 335
490 68 734
420 568 937
91 325 978
656 2 295
130 479 225
460 349 950
374 195 588
565 382 276
194 670 989
425 230 35
821 408 400
825 769 306
630 108 943
412 443 416
154 58 380
699 63 698
478 335 209
133 754 483
722 836 154
724 380 621
594 141 941
104 210 706
434 243 478
164 473 386
738 765 769
245 462 258
347 504 19
633 430 682
591 215 762
614 759 344
567 153 428
12 423 460
741 705 733
858 589 376
741 369 43
302 365 317
483 452 76
354 280 973
87 759 644
576 803 798
412 560 880
516 109 929
274 110 817
421 7 122
571 377 442
312 365 902
429 691 962
395 791 122
513 740 971
705 446 104
235 801 85
344 823 335
135 628 88
717 667 214
662 839 232
733 482 23
428 817 606
625 386 17
5 585 733
532 192 404
778 341 465
713 811 861
160 68 333
84 698 86
260 295 824
142 529 789
626 573 380
491 281 782
686 375 290
367 319 468
183 10 6
637 697 169
720 43 539
642 519 939
387 841 554
803 211 259
803 244 542
705 179 329
753 578 207
105 303 851
484 74 166
619 366 516
41 837 21
351 320 515
232 193 746
665 10 277
697 492 571
584 16 988
604 122 580
396 267 702
786 476 232
330 713 766
432 786 62
676 637 678
442 568 353
860 837 176
607 595 3
462 753 303
125 653 586
192 180 153
6 159 510
334 53 908
854 502 650
114 292 395
340 581 494
621 37 658
558 64 23
555 510 510
564 475 373
180 451 548
761 293 418
861 844 828
604 702 61
822 678 628
566 592 271
613 66 281
505 748 796
457 233 496
843 8 860
779 430 133
234 748 216
581 277 967
688 860 414
596 48 113
55 847 251
861 738 331
400 735 467
194 87 622
609 406 375
505 636 136
50 95 411
300 238 440
287 491 792
333 102 996
281 739 533
499 289 777
317 566 576
434 623 927
336 231 888
566 469 135
448 83 785
149 214 787
633 462 174
777 268 175
137 411 543
482 247 280
416 653 906
629 332 454
524 299 202
518 669 476
662 25 836
49 213 270
347 363 407
133 590 988
402 616 2
620 29 133
493 720 996
715 857 414
181 318 183
859 774 579
67 738 780
22 630 51
6 459 230
267 519 368
17 297 504
726 499 209
808 687 318
631 663 214
200 618 65
477 691 253
625 618 781
359 677 188
841 438 902
105 858 22
422 175 408
178 306 387
350 307 996
129 203 822
858 447 263
292 632 407
650 727 217
318 233 361
815 782 947
455 267 75
806 521 135
26 696 254
145 411 549
64 681 369
46 860 98
546 775 222
775 232 976
61 582 415
345 766 240
699 266 419
471 458 73
579 211 455
428 210 249
156 737 231
829 583 382
609 542 185
73 125 361
512 371 513
166 519 14
441 615 3
337 109 731
727 771 980
444 818 732
779 325 624
433 774 66
738 856 928
474 137 749
223 199 697
650 637 444
660 588 227
724 477 376
808 845 384
674 229 217
414 860 295
139 196 196
428 653 115
817 544 792
612 272 724
804 242 315
488 595 727
62 29 98
422 124 788
376 127 602
217 461 495
738 89 609
602 83 32
810 584 58
661 428 308
107 203 68
525 301 82
271 83 623
277 755 296
414 349 355
113 382 800
738 558 727
847 762 684
160 685 77
199 817 331
702 606 196
531 60 192
599 83 718
535 628 608
189 228 841
123 676 874
722 238 655
73 802 964
452 848 424
802 23 762
390 409 376
587 586 389
494 226 577
571 219 900
163 697 683
842 311 494
841 59 113
23 106 909
5 618 754
368 544 580
361 621 197
261 625 515
684 288 431
302 137 513
279 448 486
274 767 167
46 218 233
148 847 991
185 797 752
44 487 161
506 600 74
171 674 123
335 564 443
672 753 161
794 426 277
806 265 999
189 169 361
163 581 489
308 18 772
328 65 358
303 591 580
543 213 17
73 242 837
300 402 20
617 309 177
670 93 229
607 584 667
605 392 696
107 806 477
79 67 63
747 427 750
403 550 596
8 306 488
61 37 547
149 84 185
725 362 82
450 286 355
253 528 68
31 406 6
774 775 231
775 254 501
585 698 77
593 516 98
827 541 992
719 132 728
329 52 341
334 781 328
342 518 489
129 266 153
227 111 771
541 750 21
469 729 369
723 727 310
821 195 797
641 689 209
640 433 533
199 496 453
12 445 806
793 791 807
514 450 438
94 860 687
419 682 89
338 766 177
328 17 136
388 579 274
124 470 555
812 741 502
608 498 901
700 87 905
598 497 880
60 791 219
294 825 809
698 782 314
336 282 917
684 308 165
540 270 715
836 821 679
147 398 63
35 764 442
706 491 841
678 635 82
783 229 246
352 836 741
329 378 557
169 727 575
282 175 381
131 230 646
171 364 632
549 711 281
189 191 148
131 515 515
781 194 114
10 374 154
716 266 127
51 164 773
615 811 358
41 515 553
491 574 658
843 476 335
541 678 303
821 482 549
725 670 451
384 694 605
